,id,raw_name,depth_ordering_rank,crop,header_id,num_mask_points,xmin,ymin,xmax,ymax,width,height,coco_label
0,3,person,4,0,7,97,493,5,728,304,235,299,person
1,17,person,18,1,7,25,0,1,187,485,187,484,person
2,18,person,19,0,7,52,255,140,551,485,296,345,person
3,4,person,5,1,1488,30,354,241,439,372,85,131,person
4,6,person,7,1,1488,27,253,234,327,374,74,140,person
5,7,person,8,1,1488,21,120,266,225,374,105,108,person
6,8,person,9,1,1488,26,84,239,162,361,78,122,person
7,9,person,10,1,1488,19,45,247,95,351,50,104,person
8,10,person,11,1,1488,30,0,240,126,374,126,134,person
9,1,person,2,1,1489,32,281,52,493,298,212,246,person
10,5,person,6,0,1490,40,109,130,151,242,42,112,person
11,7,person,8,0,1490,53,208,122,258,272,50,150,person
12,8,person,9,0,1490,50,287,101,374,288,87,187,person
13,9,person,10,0,1490,25,193,145,215,224,22,79,person
14,7,person,8,1,1491,25,390,201,476,379,86,178,person
15,9,person,10,1,1491,52,200,198,420,479,220,281,person
16,10,person,11,1,1491,51,401,143,592,479,191,336,person
17,11,person,12,1,1491,36,523,76,639,478,116,402,person
18,9,person,10,1,1494,19,85,430,144,528,59,98,person
19,10,person,11,1,1494,15,127,446,170,526,43,80,person
20,11,person,12,1,1494,15,159,447,202,527,43,80,person
21,12,person,13,1,1494,22,198,443,251,528,53,85,person
22,13,person,14,1,1494,26,269,408,348,531,79,123,person
23,15,person,16,1,1494,23,452,413,525,527,73,114,person
24,16,person,17,1,1494,20,518,425,555,525,37,100,person
25,17,person,18,1,1494,20,563,423,617,527,54,104,person
26,18,person,19,1,1494,18,613,420,661,527,48,107,person
27,19,person,20,1,1494,17,661,429,709,525,48,96,person
28,20,person,21,1,1494,16,692,430,770,527,78,97,person
29,15,person,16,1,1495,18,204,275,233,318,29,43,person
30,23,person,24,1,1495,18,407,285,449,315,42,30,person
31,3,keyboard,4,0,22633,15,0,616,204,706,204,90,keyboard
32,2,bench,3,0,22634,50,5,558,184,628,179,70,bench
33,3,person,4,0,22634,38,40,500,78,627,38,127,person
34,4,person,5,0,22634,62,293,425,381,678,88,253,person
35,5,person,6,0,22634,75,771,408,877,655,106,247,person
36,6,person,7,0,22634,67,841,404,929,662,88,258,person
37,7,backpack,8,0,22634,28,878,445,936,523,58,78,backpack
38,8,person,9,0,22634,69,921,355,1024,683,103,328,person
39,9,person,10,1,22634,29,998,397,1024,675,26,278,person
40,10,person,11,0,22634,26,392,525,440,612,48,87,person
41,11,person,12,1,22634,31,413,522,450,611,37,89,person
42,13,plant pot,14,0,22634,18,276,561,326,648,50,87,potted plant
43,19,umbrella,20,0,22634,17,1,374,189,513,188,139,umbrella
44,21,umbrella,22,0,22634,15,7,417,286,521,279,104,umbrella
45,25,person,26,0,1523,26,1207,1254,1259,1386,52,132,person
46,26,person,27,0,1523,23,1270,1259,1318,1389,48,130,person
47,27,person,28,0,1523,25,1314,1263,1351,1382,37,119,person
48,12,car,13,1,1524,22,986,1593,1290,1695,304,102,car
49,19,car,15,0,1525,18,1138,1213,1199,1256,61,43,car
50,22,car,18,0,1525,23,925,1230,1053,1280,128,50,car
51,27,person,23,0,1525,17,784,1226,789,1247,5,21,person
52,36,bench,32,0,1525,66,492,1325,603,1449,111,124,bench
53,5,person,6,1,22646,19,141,491,158,558,17,67,person
54,11,person,12,0,22646,22,337,484,351,527,14,43,person
55,13,person,14,0,22646,18,378,487,393,512,15,25,person
56,4,person,5,1,22647,19,465,983,504,1023,39,40,person
57,5,person,6,1,22647,17,444,986,469,1023,25,37,person
58,7,person,8,1,22647,15,305,990,336,1022,31,32,person
59,13,person,14,1,22647,18,55,984,81,1024,26,40,person
60,14,person,15,1,22647,15,114,997,138,1024,24,27,person
61,15,person,16,1,22647,20,84,982,108,1024,24,42,person
62,1,person,2,1,22648,28,202,548,390,1025,188,477,person
63,2,person,3,0,22648,56,0,526,483,1648,483,1122,person
64,5,person,6,1,22648,97,906,316,1580,1648,674,1332,person
65,6,person,7,0,22648,55,1605,542,1841,1224,236,682,person
66,8,person,9,1,22648,24,2053,715,2198,1319,145,604,person
67,12,person,13,0,22648,34,1904,555,2018,1038,114,483,person
68,13,person,14,0,22648,33,1829,574,1919,964,90,390,person
69,14,person,15,1,22648,29,1969,539,2072,1023,103,484,person
70,17,chair,18,1,22649,31,758,470,888,652,130,182,chair
71,18,person,19,1,22649,74,731,342,909,605,178,263,person
72,5,person,6,1,1550,77,97,8,231,242,134,234,person
73,6,person,7,1,1550,52,6,36,107,242,101,206,person
74,1,person,2,1,1551,37,2,349,275,491,273,142,person
75,2,person,3,1,1554,48,544,107,717,468,173,361,person
76,3,person,4,1,1554,52,385,144,590,468,205,324,person
77,9,person,10,1,1558,35,142,187,267,289,125,102,person
78,27,glasses,28,1,1558,19,232,332,284,356,52,24,eye glasses
79,31,book,32,0,1558,18,2,318,232,370,230,52,book
80,1,person,2,1,1562,50,35,32,258,398,223,366,person
81,14,chair,15,1,1564,26,318,172,371,234,53,62,chair
82,20,chair,21,1,1564,15,221,208,275,268,54,60,chair
83,21,chair,22,1,1564,21,162,222,239,297,77,75,chair
84,26,desk,27,1,1564,15,215,167,286,218,71,51,desk
85,30,desk,31,1,1564,21,100,172,220,265,120,93,desk
86,5,table,6,0,1565,23,190,311,581,479,391,168,dining table
87,3,table,4,0,1568,19,177,121,249,156,72,35,dining table
88,4,bench,5,0,1568,19,237,137,279,160,42,23,bench
89,14,book,15,1,1569,15,873,1239,2188,1461,1315,222,book
90,5,person,6,1,1570,68,1288,568,1853,1512,565,944,person
91,14,chair,15,0,1571,35,22,182,79,273,57,91,chair
92,15,chair,16,1,1571,41,75,200,165,274,90,74,chair
93,16,chair,17,1,1571,31,194,205,287,274,93,69,chair
94,16,chair,17,1,1572,16,782,490,851,606,69,116,chair
95,18,desk,19,1,1572,18,311,477,774,666,463,189,desk
96,1,person,2,1,20236,44,22,93,265,355,243,262,person
97,8,chair,9,0,22662,18,808,627,917,746,109,119,chair
98,9,table,10,0,22662,25,360,584,742,686,382,102,dining table
99,11,person,12,0,22662,36,581,490,725,595,144,105,person
100,12,chair,13,0,22662,16,493,599,611,677,118,78,chair
101,17,chair,18,1,22662,16,209,571,309,610,100,39,chair
102,18,table,19,0,22662,18,138,589,278,694,140,105,dining table
103,19,person,20,1,22662,47,0,508,193,703,193,195,person
104,6,person,7,0,22663,76,244,133,488,678,244,545,person
105,40,person,41,0,1634,58,205,174,255,311,50,137,person
106,41,person,42,0,1634,55,160,165,198,298,38,133,person
107,42,backpack,43,0,1634,20,212,194,235,234,23,40,backpack
108,9,person,10,0,1637,35,119,88,145,162,26,74,person
109,10,person,11,0,1637,26,151,96,170,162,19,66,person
110,11,person,12,1,1637,29,226,82,261,192,35,110,person
111,12,person,13,1,1637,33,213,94,244,213,31,119,person
112,6,sofa,7,1,1638,17,159,194,235,246,76,52,couch
113,10,table,11,1,1638,26,29,254,160,319,131,65,dining table
114,9,person,10,1,1640,27,1012,668,1099,1145,87,477,person
115,11,table,12,0,1642,24,189,124,289,212,100,88,dining table
116,11,person,12,0,1644,58,555,238,806,812,251,574,person
117,12,person,13,0,1644,50,390,299,564,868,174,569,person
118,6,person,7,1,1650,17,752,510,806,735,54,225,person
119,7,person,8,0,1650,75,555,474,785,1112,230,638,person
120,16,person,17,1,1652,121,1467,61,1961,1466,494,1405,person
121,17,person,18,1,1652,184,1198,254,1623,1463,425,1209,person
122,5,bench,6,0,1655,22,258,731,459,854,201,123,bench
123,9,bench,10,0,1662,16,180,161,223,206,43,45,bench
124,10,person,11,0,1662,31,188,122,220,169,32,47,person
125,3,person,4,0,1663,44,152,106,177,173,25,67,person
126,4,person,5,0,1663,52,118,104,147,199,29,95,person
127,11,person,12,0,1663,29,74,105,92,170,18,65,person
128,12,person,13,1,1663,25,107,103,121,169,14,66,person
